T18Eval-00001	B99990566
T18Eval-00001	B99990858
T18Eval-00001	A99990977
T18Eval-00001	M99990990
T18Eval-00001	E99990523
T18Eval-00002	G99990908
T18Eval-00002	B99990856
T18Eval-00002	F99991010
T18Eval-00002	E99990997
T18Eval-00002	M99990352
T18Eval-00003	F99990509
T18Eval-00003	A99990717
T18Eval-00003	A99990559
T18Eval-00003	M99990150
T18Eval-00003	B99990154
T18Eval-00004	F99990630
T18Eval-00004	F99990269
T18Eval-00004	E99990199
T18Eval-00004	F99990220
T18Eval-00004	F99990985
T18Eval-00005	E99990534
T18Eval-00005	E99990961
T18Eval-00005	F99990985
T18Eval-00005	F99990220
T18Eval-00005	F99990269
T18Eval-00006	E99990534
T18Eval-00006	M99990241
T18Eval-00006	E99990128
T18Eval-00006	B99990009
T18Eval-00006	A99990564
T18Eval-00007	F99990269
T18Eval-00007	E99990199
T18Eval-00007	F99990220
T18Eval-00007	F99990985
T18Eval-00007	A99990923
T18Eval-00008	E99990576
T18Eval-00008	E99990486
T18Eval-00008	E99990915
T18Eval-00008	A99990124
T18Eval-00008	E99990208
T18Eval-00009	F99991010
T18Eval-00009	N23813007
T18Eval-00009	N23812833
T18Eval-00009	M99990517
T18Eval-00009	E99990855
T18Eval-00010	E99990534
T18Eval-00010	A99990473
T18Eval-00010	E99990267
T18Eval-00010	E99990877
T18Eval-00010	B99990205
T18Eval-00011	B99990856
T18Eval-00011	A99990347
T18Eval-00011	N23812858
T18Eval-00011	G99990684
T18Eval-00011	E99990196
T18Eval-00012	E99990997
T18Eval-00012	G99990908
T18Eval-00012	E99990470
T18Eval-00012	B99990711
T18Eval-00012	H99990957
T18Eval-00013	H99990608
T18Eval-00013	H99990840
T18Eval-00013	H99991007
T18Eval-00013	E99990585
T18Eval-00013	B99990856
T18Eval-00014	A99990826
T18Eval-00014	M99990831
T18Eval-00014	E99990534
T18Eval-00014	M99990579
T18Eval-00014	E99990156
T18Eval-00015	G99990036
T18Eval-00015	F99991010
T18Eval-00015	E99990534
T18Eval-00015	F99990876
T18Eval-00015	E99990961
T18Eval-00016	G99990908
T18Eval-00016	F99991010
T18Eval-00016	M99990730
T18Eval-00016	E99990726
T18Eval-00016	B99990856
T18Eval-00017	N23813112
T18Eval-00017	N23813110
T18Eval-00017	A99990806
T18Eval-00017	H99990358
T18Eval-00017	N23813109
T18Eval-00018	E99990534
T18Eval-00018	A99990501
T18Eval-00018	J99990263
T18Eval-00018	E99990605
T18Eval-00018	B99990504
T18Eval-00019	N23812863
T18Eval-00019	N23812984
T18Eval-00019	E99990828
T18Eval-00019	N23813129
T18Eval-00019	N23813117
T18Eval-00020	F99990011
T18Eval-00020	C99990488
T18Eval-00020	F99990222
T18Eval-00020	C99990090
T18Eval-00020	F99991023
T18Eval-00021	F99990985
T18Eval-00021	B99990853
T18Eval-00021	E99990845
T18Eval-00021	A99990564
T18Eval-00021	E99991011
T18Eval-00022	E99990380
T18Eval-00022	E99990997
T18Eval-00022	M99990889
T18Eval-00022	E99990643
T18Eval-00022	E99990470
T18Eval-00023	F99991010
T18Eval-00023	G99990908
T18Eval-00023	E99990351
T18Eval-00023	E99990053
T18Eval-00023	E99990276
T18Eval-00024	E99990533
T18Eval-00024	A99990155
T18Eval-00024	B99990412
T18Eval-00024	B99990910
T18Eval-00024	D99990698
T18Eval-00025	N23812857
T18Eval-00025	A99990993
T18Eval-00025	A99990376
T18Eval-00025	A99990933
T18Eval-00025	A99990094
T18Eval-00026	E99990534
T18Eval-00026	F99990220
T18Eval-00026	E99990199
T18Eval-00026	F99990269
T18Eval-00026	F99990630
T18Eval-00027	A99990145
T18Eval-00027	E99990849
T18Eval-00027	B99990409
T18Eval-00027	E99990203
T18Eval-00027	A99990186
T18Eval-00028	E99990053
T18Eval-00028	E99990351
T18Eval-00028	F99991010
T18Eval-00028	F99990064
T18Eval-00028	G99990908
T18Eval-00029	A99990993
T18Eval-00029	E99990844
T18Eval-00029	A99990693
T18Eval-00029	A99990650
T18Eval-00029	A99990395
T18Eval-00030	E99990585
T18Eval-00030	N23812841
T18Eval-00030	B99990971
T18Eval-00030	G99990800
T18Eval-00030	G99990410
T18Eval-00031	E99990597
T18Eval-00031	G99990908
T18Eval-00031	E99990341
T18Eval-00031	E99990662
T18Eval-00031	E99990547
T18Eval-00032	G99990908
T18Eval-00032	B99990856
T18Eval-00032	E99990340
T18Eval-00032	G99990413
T18Eval-00032	M99990586
T18Eval-00033	F99990309
T18Eval-00033	F99990318
T18Eval-00033	F99990876
T18Eval-00033	F99990985
T18Eval-00033	F99991010
T18Eval-00034	E99990534
T18Eval-00034	F99990985
T18Eval-00034	E99990199
T18Eval-00034	F99990269
T18Eval-00034	F99990220
T18Eval-00035	F99990536
T18Eval-00035	F99990983
T18Eval-00035	F99990528
T18Eval-00035	F99990545
T18Eval-00035	F99990440
T18Eval-00036	F99990596
T18Eval-00036	F99990092
T18Eval-00036	F99991010
T18Eval-00036	A99990788
T18Eval-00036	E99990728
T18Eval-00037	H99990822
T18Eval-00037	G99990012
T18Eval-00037	A99990733
T18Eval-00037	A99990321
T18Eval-00037	N23813040
T18Eval-00038	E99990534
T18Eval-00038	F99990871
T18Eval-00038	E99990199
T18Eval-00038	F99990220
T18Eval-00038	F99990269
T18Eval-00039	E99990351
T18Eval-00039	J99990330
T18Eval-00039	E99990053
T18Eval-00039	F99991010
T18Eval-00039	E99990276
T18Eval-00040	G99990081
T18Eval-00040	E99991017
T18Eval-00040	B99990858
T18Eval-00040	A99990977
T18Eval-00040	A99990826
T18Eval-00041	E99990534
T18Eval-00041	B99990954
T18Eval-00041	E99990128
T18Eval-00041	E99990857
T18Eval-00041	E99990236
T18Eval-00042	G99990908
T18Eval-00042	E99990380
T18Eval-00042	B99990856
T18Eval-00042	M99990889
T18Eval-00042	E99990534
T18Eval-00043	F99991010
T18Eval-00043	G99990908
T18Eval-00043	F99990136
T18Eval-00043	M99990517
T18Eval-00043	N23813007
T18Eval-00044	F99990414
T18Eval-00044	F99990985
T18Eval-00044	E99990199
T18Eval-00044	F99990269
T18Eval-00044	F99990220
T18Eval-00045	E99990477
T18Eval-00045	M99990541
T18Eval-00045	E99990534
T18Eval-00045	M99990517
T18Eval-00045	N23812833